Id,SalePrice
1461,121465.91
1462,159929.12
1463,178337.72
1464,181006.64
1465,202560.95
1466,172360.33
1467,167504.22
1468,164763.75
1469,174490.78
1470,127064.55
1471,193197.0
1472,98293.9
1473,96046.25
1474,150132.33
1475,130200.08
1476,363581.0
1477,251739.17
1478,289824.66
1479,248675.12
1480,484485.34
1481,307571.56
1482,207446.56
1483,170281.06
1484,171360.17
1485,179593.28
1486,195289.08
1487,309232.4
1488,230545.73
1489,197834.33
1490,208777.19
1491,187940.11
1492,92038.734
1493,191664.06
1494,305643.38
1495,290375.94
1496,224360.31
1497,191960.1
1498,157147.27
1499,147197.4
1500,139438.36
1501,208123.47
1502,157926.27
1503,304372.5
1504,235550.8
1505,225982.4
1506,185001.5
1507,244890.72
1508,199249.28
1509,169937.7
1510,148770.58
1511,149786.3
1512,173709.0
1513,147313.42
1514,173002.92
1515,201396.83
1516,147504.39
1517,161595.25
1518,134422.06
1519,218429.17
1520,137605.16
1521,141859.19
1522,168027.58
1523,114266.805
1524,125606.06
1525,121814.164
1526,118208.06
1527,103004.09
1528,134519.3
1529,147548.1
1530,188714.89
1531,113359.6
1532,102940.53
1533,145076.48
1534,120333.914
1535,151412.88
1536,113720.75
1537,65634.36
1538,167790.38
1539,226147.55
1540,100882.945
1541,148482.36
1542,144884.36
1543,207839.22
1544,79396.11
1545,107881.32
1546,126733.21
1547,126560.03
1548,132082.48
1549,121165.3
1550,143741.19
1551,115577.75
1552,124453.03
1553,144984.84
1554,110022.21
1555,167204.95
1556,97492.79
1557,97757.51
1558,95247.81
1559,88689.055
1560,145777.48
1561,124334.164
1562,126351.54
1563,125789.67
1564,165785.02
1565,155275.61
1566,239790.97
1567,63774.703
1568,236609.62
1569,144006.52
1570,138807.61
1571,131367.02
1572,158430.22
1573,229340.67
1574,112219.71
1575,213485.86
1576,217303.89
1577,183685.03
1578,145480.08
1579,144937.69
1580,192657.66
1581,143169.94
1582,129288.17
1583,327202.7
1584,238511.86
1585,145394.22
1586,74916.83
1587,96229.76
1588,153416.23
1589,95456.92
1590,138034.52
1591,104598.74
1592,126018.08
1593,120419.97
1594,133386.53
1595,110514.94
1596,247115.9
1597,180203.12
1598,200208.19
1599,213582.39
1600,185332.72
1601,70214.55
1602,114914.56
1603,84089.516
1604,293092.47
1605,253857.47
1606,174359.9
1607,166385.36
1608,226334.8
1609,193358.3
1610,169114.45
1611,145504.28
1612,177642.98
1613,157667.77
1614,113942.945
1615,93714.7
1616,77162.375
1617,86198.27
1618,129272.73
1619,137287.23
1620,173963.3
1621,135803.34
1622,141812.9
1623,290219.34
1624,212124.28
1625,120475.34
1626,175617.12
1627,180308.8
1628,295969.28
1629,175831.78
1630,356502.34
1631,216978.94
1632,255419.84
1633,168392.8
1634,173878.1
1635,175922.42
1636,151172.8
1637,170308.48
1638,200236.1
1639,184915.81
1640,272826.44
1641,179277.23
1642,222419.52
1643,230040.66
1644,234961.17
1645,196688.92
1646,153686.1
1647,163905.6
1648,132399.05
1649,135821.73
1650,119047.91
1651,125838.79
1652,95862.74
1653,97213.67
1654,155260.2
1655,149217.69
1656,148247.28
1657,152569.27
1658,148876.77
1659,140110.61
1660,153566.44
1661,456799.5
1662,380203.03
1663,382387.56
1664,470557.34
1665,323619.5
1666,324202.94
1667,357813.4
1668,338405.47
1669,269140.44
1670,344915.4
1671,262883.66
1672,498095.5
1673,293226.2
1674,245071.02
1675,181589.19
1676,183090.05
1677,212101.8
1678,458101.4
1679,422981.78
1680,344449.8
1681,261979.03
1682,284176.53
1683,180089.67
1684,169737.14
1685,170211.23
1686,172425.45
1687,166662.55
1688,185872.56
1689,189865.56
1690,182912.2
1691,171596.34
1692,272750.2
1693,163507.08
1694,180596.73
